"path","title","description","caption"
"assets/images/regions/bizerte_cover.jpg","Bizerte cover","Northern sea light, medina charm, cliffs, lagoons, and seafood culture.","Bizerte cover - Northern sea light, medina charm, cliffs, lagoons, and seafood culture."
"assets/images/regions/bizerte_hero.jpg","Bizerte hero","Northern sea light, medina charm, cliffs, lagoons, and seafood culture.","Bizerte hero - Northern sea light, medina charm, cliffs, lagoons, and seafood culture."
"assets/images/regions/kef_cover.jpg","Kef cover","Hilltop history, strong regional food, and heritage layers looking over the northwest.","Kef cover - Hilltop history, strong regional food, and heritage layers looking over the northwest."
"assets/images/regions/kef_hero.jpg","Kef hero","Hilltop history, strong regional food, and heritage layers looking over the northwest.","Kef hero - Hilltop history, strong regional food, and heritage layers looking over the northwest."
"assets/images/regions/zaghouan_cover.jpg","Zaghouan cover","Mountain views, Roman heritage, and fresh-air routes just inland from the coast.","Zaghouan cover - Mountain views, Roman heritage, and fresh-air routes just inland from the coast."
"assets/images/regions/zaghouan_hero.jpg","Zaghouan hero","Mountain views, Roman heritage, and fresh-air routes just inland from the coast.","Zaghouan hero - Mountain views, Roman heritage, and fresh-air routes just inland from the coast."
"assets/images/places/bizerte_accommodation_1.jpg","Dar Bizerte Sea House","Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Bizerte with breakfast, concierge help, and nearby heritage routes.","Dar Bizerte Sea House - Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Bizerte with breakfast, concierge help, and nearby heritage routes."
"assets/images/places/bizerte_accommodation_2.jpg","Bizerte Harbor Guest Lodge","Comfortable guest stay with easy access to local food and activities. Flexible stay option in Bizerte suited to couples, families, and friends exploring the region.","Bizerte Harbor Guest Lodge - Comfortable guest stay with easy access to local food and activities. Flexible stay option in Bizerte suited to couples, families, and friends exploring the region."
"assets/images/places/bizerte_accommodation_21.jpg","Dar Bizerte Sea House gallery","Secondary gallery view for Dar Bizerte Sea House in Bizerte.","Dar Bizerte Sea House gallery - Secondary gallery view for Dar Bizerte Sea House in Bizerte."
"assets/images/places/bizerte_accommodation_22.jpg","Bizerte Harbor Guest Lodge gallery","Secondary gallery view for Bizerte Harbor Guest Lodge in Bizerte.","Bizerte Harbor Guest Lodge gallery - Secondary gallery view for Bizerte Harbor Guest Lodge in Bizerte."
"assets/images/places/bizerte_activity_27.jpg","Bizerte Cycling Escape gallery","Secondary gallery view for Bizerte Cycling Escape in Bizerte.","Bizerte Cycling Escape gallery - Secondary gallery view for Bizerte Cycling Escape in Bizerte."
"assets/images/places/bizerte_activity_28.jpg","Bizerte Breeze Adventure Trail gallery","Secondary gallery view for Bizerte Breeze Adventure Trail in Bizerte.","Bizerte Breeze Adventure Trail gallery - Secondary gallery view for Bizerte Breeze Adventure Trail in Bizerte."
