"path","category","source","title","description","search_keywords"
"assets/images/banners/banner_artisan.jpg","banner","banners.json","Craft, cycle, discover","Mix artisan ateliers, heritage houses, and active days in one curated itinerary.","Tunisia travel banner, Craft, cycle, discover, Plan route"
"assets/images/banners/banner_blue_doors.jpg","banner","banners.json","Stay by the blue doors","Warm courtyards, boutique stays, and handcrafted local routes.","Tunisia travel banner, Stay by the blue doors, Create stay"
"assets/images/banners/banner_culinary.jpg","banner","banners.json","Taste Tunisia slowly","From medina tables to coastal kitchens, book food-first stops with real local value.","Tunisia travel banner, Taste Tunisia slowly, Explore food"
"assets/images/banners/banner_oasis.jpg","banner","banners.json","Desert, oasis, coast","Build multi-region trips across Tunisia with budget-aware local recommendations.","Tunisia travel banner, Desert, oasis, coast, Start planner"
"assets/images/mockups/artisan.jpg","mockup","lib/interests","Artisan interest","Interest card image for handcrafted products.","artisan Tunisia, workshop, handmade products"
"assets/images/mockups/crafts.jpg","mockup","lib/interests","Crafts interest","Interest card image for local crafts.","Tunisian crafts, pottery, weaving, handmade"
"assets/images/mockups/cuisine.jpg","mockup","lib/interests","Cuisine interest","Interest card image for traditional cuisine.","Tunisian cuisine, couscous, brik, local food"
"assets/images/mockups/cycling.jpg","mockup","lib/interests","Cycling interest","Interest card image for cycling.","cycling Tunisia, coastal road, bike trip"
"assets/images/mockups/horse_riding.jpg","mockup","lib/interests","Horse riding interest","Interest card image for horse riding activity.","horse riding Tunisia, desert trail, adventure"
"assets/images/mockups/nature.jpg","mockup","lib/interests","Nature interest","Interest card image for nature exploration.","Tunisia nature, mountain, forest, landscape"
"assets/images/mockups/planner_cover.jpg","mockup","lib/planner","Planner cover","Cover image for trip planner experience.","travel planner, Tunisia itinerary, notebook map"
"assets/images/mockups/tunisia_map.jpg","mockup","lib/governorates","Tunisia map","Map visual used on governorates exploration page.","Tunisia map outline, governorates map, transparent"
"assets/images/onboarding/auth_cover.jpg","onboarding","lib/auth","Auth cover","Welcoming visual for sign in and auth landing screens.","Tunisia travelers, welcome, medina, lifestyle"
"assets/images/onboarding/discover_tunisia.jpg","onboarding","lib/onboarding","Discover Tunisia","Hero visual introducing Tunisia discovery journey.","Tunisia travel aerial, medina, coast, discovery"
"assets/images/onboarding/splash_cover.jpg","onboarding","lib/splash","Splash cover","Main splash image for app launch screen.","Tunisia iconic landscape, opening screen"
"assets/images/onboarding/support_locals.jpg","onboarding","lib/onboarding","Support locals","Visual about local artisans, community, and responsible tourism.","Tunisian artisans, local community, handmade, workshop"
"assets/images/onboarding/travel_smart.jpg","onboarding","lib/onboarding","Travel smart","Visual about itinerary planning and meaningful travel.","Tunisia route planning, smart travel, map, journey"
"assets/images/places/ariana_accommodation_1.jpg","place-main-accommodation","places.json","Dar Ariana Rooftop House","Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Ariana with breakfast, concierge help, and nearby heritage routes.","Ariana Tunisia, accommodation, Heritage, Boutique, Local Partner, Family, Food, local travel"
